date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team,away_team,teamA_PTS,teamB_PTS,teamA_FG_PCT,teamB_FG_PCT,teamA_FT_PCT,teamB_FT_PCT,teamA_FG3_PCT,teamB_FG3_PCT,teamA_AST,teamB_AST,teamA_REB,teamB_REB
2016-10-29,2017,atlanta,philadelphia,0,104,72,-370.0,285.0,202.0,7.5,103.0,2016-10-29,21600026.0,Final,1610612755.0,1610612737.0,2016.0,1610612755.0,72.0,0.35,0.733,0.278,16.0,39.0,1610612737.0,104.0,0.494,0.652,0.25,31.0,47.0,0.0,philadelphia,atlanta,104.0,72.0,0.494,0.35,0.652,0.733,0.25,0.278,31.0,16.0,47.0,39.0
2016-10-30,2017,la clippers,utah,1,88,75,-360.0,295.0,189.0,7.5,98.5,2016-10-30,21600035.0,Final,1610612746.0,1610612762.0,2016.0,1610612746.0,88.0,0.41,0.7,0.222,17.0,49.0,1610612762.0,75.0,0.397,0.769,0.368,18.0,43.0,1.0,la clippers,utah,88.0,75.0,0.41,0.397,0.7,0.769,0.222,0.368,17.0,18.0,49.0,43.0
2016-10-30,2017,golden state,phoenix,0,106,100,-791.0,570.0,227.0,11.5,113.0,2016-10-30,21600036.0,Final,1610612756.0,1610612744.0,2016.0,1610612756.0,100.0,0.411,0.72,0.348,19.0,50.0,1610612744.0,106.0,0.422,0.848,0.276,27.0,43.0,0.0,phoenix,golden state,106.0,100.0,0.422,0.411,0.848,0.72,0.276,0.348,27.0,19.0,43.0,50.0
2016-10-30,2017,miami,san antonio,1,99,106,230.0,-290.0,194.0,-6.5,102.0,2016-10-30,21600037.0,Final,1610612748.0,1610612759.0,2016.0,1610612748.0,99.0,0.4629999999999999,0.6920000000000001,0.35,19.0,36.0,1610612759.0,106.0,0.451,0.846,0.556,20.0,44.0,0.0,miami,san antonio,99.0,106.0,0.4629999999999999,0.451,0.6920000000000001,0.846,0.35,0.556,19.0,20.0,36.0,44.0
2016-10-30,2017,memphis,washington,1,112,103,140.0,-160.0,204.5,-3.5,102.5,2016-10-30,21600039.0,Final,1610612763.0,1610612764.0,2016.0,1610612763.0,112.0,0.4429999999999999,0.731,0.484,24.0,47.0,1610612764.0,103.0,0.442,0.88,0.2,19.0,40.0,1.0,memphis,washington,112.0,103.0,0.4429999999999999,0.442,0.731,0.88,0.484,0.2,24.0,19.0,47.0,40.0
2016-10-30,2017,detroit,milwaukee,1,98,83,-315.0,250.0,197.5,7.0,97.0,2016-10-30,21600038.0,Final,1610612765.0,1610612749.0,2016.0,1610612765.0,98.0,0.4429999999999999,0.75,0.25,23.0,58.0,1610612749.0,83.0,0.391,0.7859999999999999,0.235,22.0,40.0,1.0,detroit,milwaukee,98.0,83.0,0.4429999999999999,0.391,0.75,0.7859999999999999,0.25,0.235,23.0,22.0,58.0,40.0
2016-10-30,2017,la lakers,oklahoma city,0,96,113,355.0,-450.0,216.0,-8.5,107.0,2016-10-30,21600040.0,Final,1610612760.0,1610612747.0,2016.0,1610612760.0,113.0,0.474,0.8240000000000001,0.346,29.0,45.0,1610612747.0,96.0,0.402,0.792,0.2189999999999999,20.0,41.0,1.0,oklahoma city,la lakers,96.0,113.0,0.402,0.474,0.792,0.8240000000000001,0.2189999999999999,0.346,20.0,29.0,41.0,45.0
2016-10-30,2017,dallas,houston,0,92,93,200.0,-240.0,213.5,-6.0,107.5,2016-10-30,21600041.0,Final,1610612745.0,1610612742.0,2016.0,1610612745.0,93.0,0.42,0.667,0.355,16.0,47.0,1610612742.0,92.0,0.3720000000000001,0.85,0.355,17.0,43.0,1.0,houston,dallas,92.0,93.0,0.3720000000000001,0.42,0.85,0.667,0.355,0.355,17.0,16.0,43.0,47.0
2016-10-31,2017,la clippers,phoenix,1,116,98,-1150.0,750.0,204.5,12.5,104.5,2016-10-31,21600045.0,Final,1610612746.0,1610612756.0,2016.0,1610612746.0,116.0,0.5,0.789,0.375,21.0,44.0,1610612756.0,98.0,0.417,0.742,0.3329999999999999,19.0,44.0,1.0,la clippers,phoenix,116.0,98.0,0.5,0.417,0.789,0.742,0.375,0.3329999999999999,21.0,19.0,44.0,44.0
2016-10-31,2017,brooklyn,chicago,1,88,118,205.0,-245.0,209.5,-6.0,104.0,2016-10-31,21600043.0,Final,1610612751.0,1610612741.0,2016.0,1610612751.0,88.0,0.344,0.81,0.161,14.0,45.0,1610612741.0,118.0,0.506,0.944,0.407,26.0,58.0,0.0,brooklyn,chicago,88.0,118.0,0.344,0.506,0.81,0.944,0.161,0.407,14.0,26.0,45.0,58.0
