date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,teamA_nick,teamB_nick,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team_name,away_team_name
2007-11-17,2008,indiana,utah,1,117,97,190.0,-230.0,204.5,-5.0,107.0,pacers,jazz,2007-11-17,20700133,Final,1610612754,1610612762,2007,1610612754,117.0,0.579,0.643,0.478,29.0,35.0,1610612762,97.0,0.47,0.773,0.222,20.0,31.0,1,pacers,jazz
2007-11-17,2008,minnesota,new orleans,1,82,100,160.0,-190.0,188.0,-4.0,91.0,timberwolves,pelicans,2007-11-17,20700135,Final,1610612750,1610612740,2007,1610612750,82.0,0.419,0.75,0.3329999999999999,18.0,44.0,1610612740,100.0,0.488,1.0,0.391,25.0,33.0,0,timberwolves,pelicans
2007-11-19,2008,charlotte,portland,1,101,92,-230.0,190.0,190.5,5.5,97.5,hornets,trail blazers,2007-11-19,20700145,Final,1610612766,1610612757,2007,1610612766,101.0,0.47,0.667,0.3329999999999999,21.0,39.0,1610612757,92.0,0.421,0.87,0.444,13.0,34.0,1,hornets,trail blazers
2007-11-19,2008,new orleans,orlando,1,88,95,-120.0,100.0,186.0,1.0,92.5,pelicans,magic,2007-11-19,20700147,Final,1610612740,1610612753,2007,1610612740,88.0,0.434,0.75,0.235,19.0,36.0,1610612753,95.0,0.472,0.826,0.267,19.0,43.0,0,pelicans,magic
2007-11-20,2008,atlanta,san antonio,1,83,95,210.0,-250.0,190.0,-6.0,94.5,hawks,spurs,2007-11-20,20700150,Final,1610612737,1610612759,2007,1610612737,83.0,0.418,0.708,0.0,15.0,39.0,1610612759,95.0,0.5,0.8,0.412,22.0,39.0,0,hawks,spurs
2007-11-20,2008,cleveland,milwaukee,1,107,111,-290.0,240.0,193.5,6.5,97.0,cavaliers,bucks,2007-11-20,20700151,Final,1610612739,1610612749,2007,1610612739,107.0,0.47,0.84,0.381,19.0,40.0,1610612749,111.0,0.475,0.732,0.357,22.0,42.0,0,cavaliers,bucks
2007-11-20,2008,dallas,toronto,1,105,99,-425.0,355.0,197.0,8.5,97.5,mavericks,raptors,2007-11-20,20700154,Final,1610612742,1610612761,2007,1610612742,105.0,0.493,0.821,0.381,17.0,41.0,1610612761,99.0,0.45,0.826,0.421,19.0,40.0,1,mavericks,raptors
2007-11-21,2008,boston,golden state,1,105,82,-820.0,620.0,214.0,11.0,103.0,celtics,warriors,2007-11-21,20700158,Final,1610612738,1610612744,2007,1610612738,105.0,0.481,0.7859999999999999,0.3329999999999999,26.0,52.0,1610612744,82.0,0.3329999999999999,0.7140000000000001,0.182,11.0,40.0,1,celtics,warriors
2007-11-21,2008,charlotte,washington,1,111,114,-300.0,250.0,192.5,7.0,99.5,hornets,wizards,2007-11-21,20700157,Final,1610612766,1610612764,2007,1610612766,111.0,0.444,0.69,0.379,22.0,40.0,1610612764,114.0,0.4479999999999999,0.8,0.267,15.0,53.0,0,hornets,wizards
2007-11-21,2008,detroit,new york,1,98,86,-800.0,600.0,192.5,10.5,94.5,pistons,knicks,2007-11-21,20700161,Final,1610612765,1610612752,2007,1610612765,98.0,0.487,0.696,0.444,29.0,36.0,1610612752,86.0,0.45,0.5710000000000001,0.4,22.0,41.0,1,pistons,knicks
